序号,Phase,名称,描述,涉及文件,前置任务,验证命令,注意事项,优先级,状态
11,P2:消息流优化,ws-poller 集成 message-tracker,"【做什么】在 ws-poller 的步骤推送流程中添加 pending 消息标注|【为什么】实现乐观 UI：用户发送消息后立即在前端显示 pending 状态|【具体操作】①在 ws-poller.ts 顶部添加 import { MessageTracker } from './message-tracker' ②在 WebSocket 连接建立时创建 tracker 实例 ③在步骤推送前调用 tracker.annotateSteps(steps) 标注 _pending 字段 ④在发送消息路由中调用 tracker.addPending()|【验收标准】tsc 编译通过","packages/server/src/rpc/ws-poller.ts; packages/server/src/rpc/message-tracker.ts",9,"pnpm --filter @ag/server exec tsc --noEmit → 无报错",不要改变现有步骤数据结构——只添加 _pending 字段,P1,待开始
12,P2:消息流优化,发消息路由集成 conversation-mutations,"【做什么】在消息发送路由中包装 runConversationMutation 串行锁|【为什么】防止快速连续发送消息时 RPC 请求乱序|【具体操作】①在 api/conversations.ts 的 POST /api/conversations/:id/messages 处理函数中，将 RPC 调用包装在 runConversationMutation(conversationId, async () => { ... }) 中 ②确保 import { runConversationMutation } from '../rpc/conversation-mutations'|【验收标准】tsc 编译通过","packages/server/src/api/conversations.ts; packages/server/src/rpc/conversation-mutations.ts",7,"pnpm --filter @ag/server exec tsc --noEmit → 无报错",确保 conversations.ts 已在 Phase 1 创建完成,P1,待开始
13,P2:消息流优化,Phase 2 回归验证,"【做什么】验证消息流优化不影响现有功能|【为什么】ws-poller 是核心组件，修改后必须确认不回归|【具体操作】①pnpm --filter @ag/server exec tsc --noEmit ②启动服务 pnpm --filter @ag/server dev ③打开前端，发送一条消息，确认消息正常流转 ④检查服务端日志无异常 ⑤如果之前有长对话，确认加载不卡死|【验收标准】tsc 通过 + 消息发送正常 + 无卡死","packages/server/src/rpc/ws-poller.ts; packages/server/src/api/conversations.ts","10;11;12","pnpm --filter @ag/server exec tsc --noEmit → 无报错 && 手动发送消息验证",通过后执行 git commit -m 'refactor: Phase 2 - 消息流 step-recovery 容错',P0,待开始
14,P3:前端RPC化,新建 useConversations hook,"【做什么】创建前端 hook，定期轮询 /api/conversations 获取完整会话列表|【为什么】前端目前依赖 cascadeStore（CDP 数据源），需要切换到 RPC 数据源|【具体操作】①新建 packages/web/src/hooks/useConversations.ts ②实现：- useEffect 中 fetch('/api/conversations') 获取列表 - 状态包含 conversations 数组（id/status/numTotalSteps/workspace） - 每 5s 轮询刷新 - 提供 refreshConversations() 手动刷新方法 ③导出类型 ConversationRPC 供其他组件使用|【验收标准】hook 可导入且返回数据",packages/web/src/hooks/useConversations.ts (新建),13,"pnpm --filter @ag/web exec tsc --noEmit → 无报错","新 API 返回格式是 { trajectorySummaries: Record<string, {...}> }，需要转换为数组格式供前端使用",P1,待开始
15,P3:前端RPC化,ChatPanel 切换到 RPC 数据源,"【做什么】ChatPanel.tsx 的会话下拉框改用 useConversations hook|【为什么】当前 L436 调用 /api/conversations/history，切换到新的 /api/conversations 可获取更完整的列表（含磁盘历史）|【具体操作】①打开 packages/web/src/components/ChatPanel.tsx ②L436 的 fetch(apiUrl('/api/conversations/history...')) 改为使用 useConversations hook 返回的数据 ③L419 的 useCascadeStore 改为从 useConversations 获取会话列表 ④保留 cascadeStore 的其他用途（如 currentId 选择）暂不移除|【验收标准】会话下拉框显示完整列表（含磁盘历史会话）","packages/web/src/components/ChatPanel.tsx; packages/web/src/hooks/useConversations.ts",14,"pnpm --filter @ag/web exec tsc --noEmit → 无报错","不要一次性替换所有 useCascadeStore 引用——ChatPanel.tsx 中的 L419 是第一步，其余 7 个文件在后续任务处理",P1,待开始
16,P3:前端RPC化,新建/发消息前端走 RPC,"【做什么】前端新建会话和发送消息改为调用 RPC API|【为什么】当前新建会话靠 CDP 点击 DOM 按钮（interaction.ts L746-770），不稳定|【具体操作】①修改 MessageInput.tsx (L59 useCascadeStore)：发送消息改为 POST /api/conversations/:id/messages ②修改 DrawerActions.tsx (L21 useCascadeStore)：新建会话改为 POST /api/conversations ③保留旧的 /send/:id 作为 fallback|【验收标准】无 CDP 连接时仍可新建会话和发送消息","packages/web/src/components/chat/MessageInput.tsx; packages/web/src/components/drawer/DrawerActions.tsx",14,"pnpm --filter @ag/web exec tsc --noEmit → 无报错",保留旧 API 作为 fallback 不删除,P1,待开始
17,P3:前端RPC化,停止操作前端走 RPC,"【做什么】停止生成改为调用 POST /api/conversations/:id/stop|【为什么】当前停止靠 CDP 点击 Stop 按钮（interaction.ts L773-840），不可靠|【具体操作】①找到前端停止按钮的点击处理函数 ②将 POST /api/stop/:id 改为 POST /api/conversations/:id/stop ③保留旧端点作为 fallback|【验收标准】停止功能在无 CDP 时可用","packages/web/src/components/chat/ChatViewport.tsx (或 ChatPanel.tsx 中的停止按钮)",14,"pnpm --filter @ag/web exec tsc --noEmit → 无报错",确认停止按钮所在组件（可能在 ChatViewport 或 ChatPanel 中），grep -rn 'stop' packages/web/src/ 定位,P1,待开始
18,P3:前端RPC化,CascadeList/AppShell 迁移 useCascadeStore,"【做什么】剩余前端组件中的 useCascadeStore 引用逐步迁移到 useConversations|【为什么】这些组件仍依赖 CDP 数据源，需要切换|【具体操作】①CascadeList.tsx (L48-50)：cascades/currentId/selectCascade 改用 useConversations ②AppShell.tsx (L40-41)：currentCascadeId/currentCascade 改用 useConversations ③ChatView.tsx (L24-25)：cascades/currentId 改用 useConversations ④App.tsx (L28)：title 改用 useConversations 数据 ⑤useWebSocket.ts (L11/29/44)：保留——WS 仍需要更新 store 用于实时推送|【验收标准】tsc 编译通过 + 8 个文件中仅 useWebSocket.ts 和 cascadeStore.ts 自身仍引用 useCascadeStore","packages/web/src/components/drawer/CascadeList.tsx; packages/web/src/components/layout/AppShell.tsx; packages/web/src/components/chat/ChatView.tsx; packages/web/src/App.tsx","14;15","pnpm --filter @ag/web exec tsc --noEmit → 无报错 && grep -rn useCascadeStore packages/web/src/ | grep -v cascadeStore.ts | grep -v useWebSocket.ts | wc -l → 0","useWebSocket.ts 中的 cascadeStore 引用暂时保留——它负责 WS 实时推送，Phase 4+ 再清理",P1,待开始
19,P3:前端RPC化,Phase 3 回归验证,"【做什么】验证前端核心功能全部通过 RPC 工作|【为什么】前端是用户直接接触的部分，任何回归都会被立即发现|【具体操作】①pnpm --filter @ag/web exec tsc --noEmit ②pnpm --filter @ag/server exec tsc --noEmit ③启动前后端服务 ④验证：能看到完整会话列表（含磁盘历史）；能切换会话；能新建会话；能发送消息；能停止生成 ⑤确认旧 API 仍可用：curl localhost:3456/api/conversations/history|【验收标准】前端 5 项核心功能正常 + 旧 API 兼容","packages/web/src/**; packages/server/src/**","14;15;16;17;18","pnpm --filter @ag/web exec tsc --noEmit → 无报错 && pnpm --filter @ag/server exec tsc --noEmit → 无报错",通过后执行 git commit -m 'refactor: Phase 3 - 前端迁移到 RPC 数据源',P0,待开始
20,P4:CDP降级,session.ts 标记废弃,"【做什么】在 session.ts 顶部添加 @deprecated 注释，启动时输出警告|【为什么】session.ts 的 CDP DOM 脚本已被 conversations API 替代|【具体操作】①在 packages/server/src/api/session.ts 文件最顶部添加：/** @deprecated Use /api/conversations instead. This file will be removed in v4.0. */ ②在 sessionRouter 定义之后添加 console.warn('⚠️ session.ts routes are deprecated. Use /api/conversations instead.') ③在 index.ts L60-63 的 session 导入处添加注释标注 deprecated|【验收标准】启动服务时控制台可见 deprecation 警告","packages/server/src/api/session.ts; packages/server/src/index.ts",19,"pnpm --filter @ag/server dev → 控制台输出包含 'deprecated'",不要删除 session.ts——标记废弃即可，外部集成可能依赖,P2,待开始
21,P4:CDP降级,config.ts 添加 cdp.optional 开关,"【做什么】在 CdpConfig 类型和默认值中添加 optional 布尔字段|【为什么】允许用户关闭 CDP 依赖，验证 RPC-First 模式|【具体操作】①打开 packages/server/src/config.ts ②在 L73 CdpConfig 类型中 ports 之后添加：optional: boolean; ③在 L236 附近的 cdp 默认值中添加：optional: userConfig.cdp?.optional ?? false ④在 cdp/discovery.ts 中检查 config.cdp.optional，为 true 时跳过 CDP 发现|【验收标准】config.json 中设置 cdp.optional: true 时服务正常启动","packages/server/src/config.ts; packages/server/src/cdp/discovery.ts",19,"设 cdp.optional: true 后 pnpm --filter @ag/server dev → 启动正常","CdpConfig 当前定义在 L73-77，仅有 enabled/enableSnapshot/ports 三个字段",P1,待开始
22,P4:CDP降级,CDP API 添加可用性检查,"【做什么】cascade.ts L181-408 的 active-tab-name/active-file/close-tab API 添加 CDP 可用性守卫|【为什么】CDP 关闭时这些端点应返回 503 而非 500 错误|【具体操作】①在 cascade.ts 中 L181 的 /api/active-tab-name/:id 路由处添加：if (config.cdp.optional && !c.cdp?.rootContextId) return res.status(503).json({ error: 'CDP not available' }) ②对 L211 /api/active-file/:id 和 L412 /api/close-tab/:id 做同样处理 ③导入 config（已在 L10 导入）|【验收标准】CDP 关闭时调用这些 API 返回 503 而非 500",packages/server/src/api/cascade.ts,21,"cdp.optional: true 时 curl localhost:3456/api/active-tab-name/test → 503","共 3 个端点需要添加守卫：L181、L211、L412",P1,待开始
23,P4:CDP降级,更新 README 架构描述,"【做什么】更新 README.md 标注 RPC-First 为默认模式|【为什么】文档需要反映新架构|【具体操作】①打开 README.md ②将架构描述中 CDP 相关部分标注为可选增强 ③添加 cdp.optional 配置说明 ④更新配置示例|【验收标准】README 包含 RPC-First 描述和 cdp.optional 配置说明",README.md,21,"grep -c 'RPC-First\|cdp.optional' README.md → ≥ 2",无,P2,待开始
24,P4:CDP降级,Phase 4 回归验证,"【做什么】最终全量回归验证|【为什么】确认所有 Phase 完成后系统完整运行|【具体操作】①pnpm --filter @ag/server exec tsc --noEmit ②pnpm --filter @ag/web exec tsc --noEmit ③启动服务（cdp.optional: false 默认模式）验证全部功能 ④启动服务（cdp.optional: true）验证 RPC-Only 模式 ⑤curl localhost:3456/api/conversations 确认返回 ⑥curl localhost:3456/api/conversations/history 确认旧 API 兼容|【验收标准】两种模式都正常运行","packages/server/src/**; packages/web/src/**","20;21;22;23","pnpm --filter @ag/server exec tsc --noEmit && pnpm --filter @ag/web exec tsc --noEmit → 全部无报错",通过后执行 git commit -m 'refactor: Phase 4 - CDP 降级为可选增强',P0,待开始
